Arxiv_key,Author,Citation_count,Figures,Pages,Pub,Title,Year
http://arxiv.org/abs/astro-ph/9504075v1,"[u'Fenimore, E. E.', u""in 't Zand, J. J. M."", u'Norris, J. P.', u'Bonnell, J. T.', u'Nemiroff, R. J.']",190,,19.0,The Astrophysical Journal,[u'Gamma-Ray Burst Peak Duration as a Function of Energy'],1995
http://arxiv.org/abs/hep-ph/9306247v1,"[u'Krauss, Lawrence M.']",0,,16.0,ArXiv e-prints,"[u'The Impact of COBE on Inflation, Dark Matter, and Structure Formation: a Brief Review']",1993
http://arxiv.org/abs/astro-ph/9305017v1,"[u'Zaggia, S. R.', u'Capaccioli, M.', u'Piotto, G.']",16,8.0,6.0,Astronomy and Astrophysics,[u'High resolution kinematics of galactic globular clusters. II. On the significance of velocity dispersion measurements.'],1993
http://arxiv.org/abs/astro-ph/9406070v1,"[u'Pijpers, F. P.', u'Wanders, I.']",26,,16.0,Monthly Notices of the Royal Astronomical Society,[u'Reverberation mapping of active galactic nuclei: the SOLA method for time-series inversion.'],1994
http://arxiv.org/abs/astro-ph/9509101v1,"[u'van Kerkwijk, M. H.', u'Kulkarni, S. R.']",23,,6.0,The Astrophysical Journal,[u'Spectroscopy of the White Dwarf Companions of PSR 0655+64 and PSR 0820+02'],1995
http://arxiv.org/abs/astro-ph/9409048v1,"[u'Pijpers, F. P.']",8,,11.0,Astronomy and Astrophysics,[u'On the propagation of sound waves in a stellar wind traversed by periodic strong shocks.'],1995
http://arxiv.org/abs/astro-ph/9410019v1,"[u'Borra, E. F.', u'Moretto, G.', u'Wang, M.']",3,,8.0,Astronomy and Astrophysics Supplement Series,[u'An optical corrector design that allows a fixed telescope to access a large region of the sky.'],1995
http://arxiv.org/abs/astro-ph/9505014v2,"[u'Soares, D. S. L.']",3,,,Astronomy and Astrophysics,[u'Binary galaxies and alternative physics. I. A qualitative application of MOND and Mannheim-Kazanas gravity.'],1996
http://arxiv.org/abs/astro-ph/9511121v1,"[u'Weinberg, Martin D.']",20,,19.0,The Astrophysical Journal,[u'High-Accuracy Minimum Relaxation N-Body Simulations Using Orthogonal Series Force Computation'],1996
http://arxiv.org/abs/astro-ph/9506135v1,"[u'Harding, Alice K.']",6,,5.0,High Velocity Neutron Stars,[u'The nature of plerions surrounding soft gamma-ray repeaters'],1996
http://arxiv.org/abs/astro-ph/9512159v1,"[u'di Clemente, A.', u'Giallongo, E.', u'Natali, G.', u'Trevese, D.', u'Vagnetti, F.']",65,,23.0,The Astrophysical Journal,[u'The Variability of Quasars. II. Frequency Dependence'],1996
http://arxiv.org/abs/astro-ph/9401020v1,"[u'Maoz, Dan', u'Gould, Andrew']",40,,16.0,The Astrophysical Journal,[u'A Spectroscopic Method to Measure MACHO Proper Motions'],1994
http://arxiv.org/abs/astro-ph/9510082v1,"[u'Gunn, Katherine F.', u'Thomas, Peter A.']",29,2.0,,Monthly Notices of the Royal Astronomical Society,[u'The Baryon Catastrophe and the multiphase intracluster medium'],1996
http://arxiv.org/abs/astro-ph/9509103v1,"[u'Pych, Wojciech', u'Olech, Arkadiusz']",12,,15.0,Acta Astronomica,[u'CCD Photometry of Dwarf Nova AL COM in Superoutburst'],1995
http://arxiv.org/abs/astro-ph/9503109v1,"[u'de Propris, Roberto', u'Pritchet, Christopher J.', u'Harris, William E.', u'McClure, Robert D.']",84,2.0,15.0,The Astrophysical Journal,[u'Evidence for Steep Luminosity Functions in Clusters of Galaxies'],1995
http://arxiv.org/abs/gr-qc/9309021v1,"[u'Fakir, Redouane']",2,,,ArXiv General Relativity and Quantum Cosmology e-prints,[u'Early Direct Detection of Gravity Waves'],1993
http://arxiv.org/abs/astro-ph/9506123v1,"[u'Hau, G. K. T.', u'Ferguson, H. C.', u'Lahav, O.', u'Lynden-Bell, D.']",18,,,Monthly Notices of the Royal Astronomical Society,[u'Visual search for galaxies near the northern crossing of the Supergalactic Plane by the Milky Way'],1995
http://arxiv.org/abs/astro-ph/9410064v1,"[u'Ojha, D.']",0,,5.0,The Formation of the Milky Way,[u'Kinematical properties of the thick disk of the Galaxy.'],1995
http://arxiv.org/abs/astro-ph/9311012v1,"[u'Chiba, Takashi', u'Sugiyama, Naoshi', u'Suto, Yasushi']",15,,,The Astrophysical Journal,[u'Microwave Background Anisotropies in Primeval Isocurvature Baryon Models: Constraints on the Cosmological Parameters'],1994
http://arxiv.org/abs/hep-ph/9403259v1,"[u'Davidson, Sacha', u'Murayama, Hitoshi', u'Olive, Keith A.']",15,,10.0,Physics Letters B,[u'On preserving a B + L asymmetry produced in the early universe'],1994
http://arxiv.org/abs/astro-ph/9509119v1,"[u'van den Bergh, Sidney']",22,2.0,21.0,The Astronomical Journal,[u'Some Constraints on Galaxy Evolution Imposed by the Specific Frequency of Globular Clusters'],1995
http://arxiv.org/abs/astro-ph/9404008v1,"[u'Page, Dany']",42,,26.0,The Astrophysical Journal,[u'Geminga: A Cooling Superfluid Neutron Star'],1994
