Arxiv_key,Author,Citation_count,Figures,Pages,Pub,Title,Year
http://arxiv.org/abs/astro-ph/9810270v1,"[u'Schaefer, Bradley E.', u'Walker, Katharine C.']",16,3.0,20.0,The Astrophysical Journal,[u'A Gamma-Ray Burst with a 220 Microsecond Rise Time and a Sharp Spectral Cutoff'],1999
http://arxiv.org/abs/astro-ph/9712324v1,"[u'Barwick, S. W.', u'Beatty, J. J.', u'Bower, C. R.', u'Chaput, C. J.', u'Coutu, S.', u'de Nolfo, G. A.', u'DuVernois, M. A.', u'Ellithorpe, D.', u'Ficenec, D.', u'Knapp, J.', u'Lowder, D. M.', u'McKee, S.', u'M\xfcller, D.', u'Musser, J. A.', u'Nutter, S. L.', u'Schneider, E.', u'Swordy, S. P.', u'Tarl\xe9, G.', u'Tomasch, A. D.', u'Torbet, E.']",99,15.0,30.0,The Astrophysical Journal,[u'The Energy Spectra and Relative Abundances of Electrons and Positrons in the Galactic Cosmic Radiation'],1998
http://arxiv.org/abs/astro-ph/9811038v2,"[u'Alexander, Tal', u'Sternberg, Amiel']",55,,,The Astrophysical Journal,[u'Near-Infrared Microlensing of Stars by the Supermassive Black Hole in the Galactic Center'],1999
http://arxiv.org/abs/astro-ph/9711347v1,"[u'Goussard, J. -O.', u'Haensel, P.', u'Zdunik, J. L.']",38,8.0,13.0,Astronomy and Astrophysics,[u'Rapid differential rotation of protoneutron stars and constraints on radio pulsars periods'],1998
http://arxiv.org/abs/astro-ph/9809158v2,"[u'Robertson, J. G.', u'Bedding, T. R.', u'Aerts, C.', u'Waelkens, C.', u'Marson, R. G.', u'Barton, J. R.']",11,8.0,8.0,Monthly Notices of the Royal Astronomical Society,[u'Interferometry and spectroscopy of beta Cen: a beta Cephei star in a binary system^*'],1999
http://arxiv.org/abs/astro-ph/9806043v1,"[u'Niemeyer, J. C.']",3,,4.0,ArXiv e-prints,[u'Numerical investigation of the threshold for primordial black hole formation'],1998
http://arxiv.org/abs/astro-ph/9712322v1,"[u'Galama, T.', u'Groot, P. J.', u'van Paradijs, J.', u'Kouveliotou, C.', u'Robinson, C. R.', u'Fishman, G. J.', u'Meegan, C. A.', u'Sahu, K. C.', u'Livio, N.', u'Petro, L.', u'Macchetto, F. D.', u'Heise, J.', u""in't Zand, J."", u'Strom, R. G.', u'Telting, J.', u'Rutten, R. G. M.', u'Pettini, M.', u'Tanvir, N.', u'Bloom, J.']",77,,5.0,Nature,[u'The decay of optical emission from the \u03b3-ray burst GRB 970228.'],1997
http://arxiv.org/abs/hep-ph/9806529v1,"[u'Kusenko, A.']",1,,4.0,"Particles, Strings and Cosmology (PASCOS 98)",[u'Supersymmetric Q-balls: Theory and Cosmology'],1999
http://arxiv.org/abs/astro-ph/9810312v1,"[u'Takeuchi, T. T.', u'Hirashita, H.']",0,,4.0,The Stellar Content of Local Group Galaxies,[u'Two Species of Local Group Dwarf Spheroidals'],1999
http://arxiv.org/abs/astro-ph/9811002v1,"[u'Matt, Giorgio']",0,,12.0,Science with XMM,[u'Studying circumnuclear matter in AGN with X-ray spectroscopy'],1998
http://arxiv.org/abs/astro-ph/9711341v2,"[u'Hudson, Michael J.', u'Gwyn, Stephen D. J.', u'Dahle, H\xe5kon', u'Kaiser, Nick']",138,7.0,13.0,The Astrophysical Journal,[u'Galaxy-Galaxy Lensing in the Hubble Deep Field: The Halo Tully-Fisher Relation at Intermediate Redshift'],1998
http://arxiv.org/abs/astro-ph/9801178v1,"[u'Xilouris, Kiriaki M.', u'Kramer, Michael', u'Jessner, Axel', u'von Hoensbroech, Alexis', u'Lorimer, Duncan R.', u'Wielebinski, Richard', u'Wolszczan, Alexander', u'Camilo, Fernando']",58,8.0,38.0,The Astrophysical Journal,[u'The Characteristics of Millisecond Pulsar Emission. II. Polarimetry'],1998
http://arxiv.org/abs/astro-ph/9810068v1,"[u'Papathanassiou, H.']",0,,4.0,ArXiv e-prints,[u'Probing the Emission Sites of GRBs'],1998
http://arxiv.org/abs/astro-ph/9802186v1,"[u'Renzini, Alvio']",67,,28.0,The Astronomical Journal,[u'The Stellar Populations of Pixels and Frames'],1998
http://arxiv.org/abs/gr-qc/9805062v1,"[u'Singh, T. P.']",14,,6.0,General Relativity and Gravitation,[u'Gamma-Ray Bursts and Quantum Cosmic Censorship'],1998
http://arxiv.org/abs/astro-ph/9805141v1,"[u'Alves, Jo\xe3o', u'Lada, Charles J.', u'Lada, Elizabeth A.', u'Kenyon, Scott J.', u'Phelps, Randy']",101,12.0,37.0,The Astrophysical Journal,[u'Dust Extinction and Molecular Cloud Structure: L977'],1998
http://arxiv.org/abs/astro-ph/9806049v1,"[u'Remillard, R. A.', u'Morgan, E. H.', u'McClintock, J. E.', u'Bailyn, C. D.', u'Orosz, J. A.']",6,,45.0,ArXiv e-prints,[u'RXTE Observations of 0.1-300 Hz QPOs in the Microquasar GRO J1655-40'],1998
http://arxiv.org/abs/astro-ph/9807343v1,"[u'Padovani, P.', u'Kimball, T.']",0,,2.0,Memorie della Societa Astronomica Italiana,[u'AGN in the multimission archive at STScI'],1999
http://arxiv.org/abs/astro-ph/9712328v1,"[u'Bisnovatyi-Kogan, G. S.', u'Dorodnitsyn, A. V.']",0,2.0,14.0,ArXiv e-prints,[u'New approach to modeling of outflowing envelopes at arbitrary optical depths'],1997
http://arxiv.org/abs/astro-ph/9804261v1,"[u'Kissler-Patig, Markus', u'Forbes, Duncan A.', u'Minniti, Dante']",46,2.0,11.0,Monthly Notices of the Royal Astronomical Society,[u'Constraints on the merger models of elliptical galaxies from their globular cluster systems'],1998
http://arxiv.org/abs/astro-ph/9809232v1,"[u'Omukai, K.', u'Nishi, R.', u'Uehara, H.', u'Susa, H.']",9,,13.0,Progress of Theoretical Physics,[u'Evolution of Primordial Protostellar Clouds --- Quasi-Static Analysis ---'],1998
http://arxiv.org/abs/nucl-th/9808057v1,"[u'de Blasio, F. V.', u'Elgar\xf8y, \xd8.']",15,2.0,5.0,Physical Review Letters,[u'Microscopic Structure of a Vortex Line in Superfluid Neutron Star Matter'],1999
http://arxiv.org/abs/astro-ph/9804081v1,"[u'Hutchings, J. B.']",0,,10.0,ArXiv e-prints,[u'HST resolved image and spectra of z=2 QSO 1345+584'],1998
http://arxiv.org/abs/gr-qc/9804067v5,"[u'Sakamoto, Kenji', u'Shiraishi, Kiyoshi']",14,7.0,16.0,Journal of High Energy Physics,[u'Boson stars with large self-interaction in (2+1) dimensions: an exact solution'],1998
http://arxiv.org/abs/astro-ph/9801247v1,"[u'Lesch, H.', u'Jessner, A.', u'Kramer, M.', u'Kunzl, T.']",18,3.0,4.0,Astronomy and Astrophysics,[u'On the possibility of curvature radiation from radio pulsars'],1998
http://arxiv.org/abs/hep-ph/9803270v1,"[u'Garcia-Bellido, Juan']",11,6.0,20.0,ArXiv e-prints,[u'Single-bubble Open Inflation: An Overview'],1998
