Arxiv_key,Author,Citation_count,Figures,Pages,Pub,Title,Year
http://arxiv.org/abs/hep-ph/9206260v1,"[u'Brandenberger, Robert H.', u'Davis, Anne-Christine']",0,,7.0,ArXiv e-prints,[u'Electroweak Baryogenesis with a Second Order Phase Transition'],1992
http://arxiv.org/abs/astro-ph/9206002v1,"[u'Thomas, David', u'Schramm, David N.', u'Olive, Keith A.', u'Fields, Brian D.']",90,8.0,28.0,The Astrophysical Journal,[u'Primordial Nucleosynthesis and the Abundances of Beryllium and Boron'],1993
http://arxiv.org/abs/astro-ph/9206001v1,"[u'Brandenberger, Robert H.', u'Davis, Anne-Christine']",64,,12.0,Physics Letters B,[u'Electroweak baryogenesis with electroweak strings'],1993
http://arxiv.org/abs/hep-ph/9206266v1,"[u'Myint, Stanley']",67,,9.0,Physics Letters B,[u'Baryogenesis constraints on the minimal supersymmetric model'],1992
http://arxiv.org/abs/hep-ph/9206233v1,"[u'Bennett, David P.', u'Stebbins, Albert', u'Bouchet, Francois R.']",103,,8.0,The Astrophysical Journal,[u'The Implications of the COBE DMR Results for Cosmic Strings'],1992
http://arxiv.org/abs/hep-ph/9210274v1,"[u'Chivukula, R. Sekhar', u'Cohen, Andrew G.', u'Luke, Michael', u'Savage, Martin J.']",11,,6.0,Physics Letters B,[u'A comment on the strong interactions of color-neutral technibaryons'],1993
http://arxiv.org/abs/astro-ph/9206003v1,"[u'MacGibbon, Jane H.', u'Brandenberger, Robert H.']",16,4.0,33.0,Physical Review D,[u'\u03b3-ray signatures from ordinary cosmic strings'],1993
http://arxiv.org/abs/hep-th/9210001v1,"[u'Mende, Paul F.']",11,,15.0,String Quantum Gravity and Physics at the Planck Energy Scale,[u'String Theory at Short Distance and the Principle of Equivalence'],1993
http://arxiv.org/abs/astro-ph/9204001v1,"[u'Narayan, Ramesh', u'Paczynski, Bohdan', u'Piran, Tsvi']",695,,14.0,The Astrophysical Journal,[u'Gamma-Ray Bursts as the Death Throes of Massive Binary Stars'],1992
http://arxiv.org/abs/gr-qc/9209004v1,"[u'Malec, Edward', u'Murchadha, Niall \xd3']",0,,,ArXiv General Relativity and Quantum Cosmology e-prints,[u'A Quasilocal Test of the Finiteness of the Universe'],1992
http://arxiv.org/abs/astro-ph/9208001v1,"[u'Falk, Toby', u'Rangarajan, Raghavan', u'Srednicki, Mark']",182,3.0,7.0,The Astrophysical Journal,[u'The Angular Dependence of the Three-Point Correlation Function of the Cosmic Microwave Background Radiation as Predicted by Inflationary Cosmologies'],1993
http://arxiv.org/abs/astro-ph/9205001v1,"[u'Faraoni, Valerio']",19,,12.0,The Astrophysical Journal,[u'Nonstationary gravitational lenses and the Fermat principle'],1992
http://arxiv.org/abs/astro-ph/9206005v1,"[u'Brandenberger, R.', u'Mukhanov, V.', u'Prokopec, T.']",61,,10.0,Physical Review Letters,[u'Entropy of a classical stochastic field and cosmological perturbations'],1992
