Arxiv_key,Author,Citation_count,Figures,Pages,Pub,Title,Year,Pub_average,Citation_category,h_index,m_index,e_index,i10_index,i100_index,g_index,tori_index,riq_index
http://arxiv.org/abs/astro-ph/9305017v1,"[u'Zaggia, S. R.', u'Capaccioli, M.', u'Piotto, G.']",16,8.0,6.0,Astronomy and Astrophysics,[u'High resolution kinematics of galactic globular clusters. II. On the significance of velocity dispersion measurements.'],1993,44.746808510638296,0,3.0,1.5,5.7,2.0,0.0,5.0,0.3,293.0
http://arxiv.org/abs/astro-ph/9503109v1,"[u'de Propris, Roberto', u'Pritchet, Christopher J.', u'Harris, William E.', u'McClure, Robert D.']",84,2.0,15.0,The Astrophysical Journal,[u'Evidence for Steep Luminosity Functions in Clusters of Galaxies'],1995,68.21280724450196,2,2.0,0.7,10.8,2.0,0.0,3.0,0.8,303.0
http://arxiv.org/abs/astro-ph/9509119v1,"[u'van den Bergh, Sidney']",22,2.0,21.0,The Astronomical Journal,[u'Some Constraints on Galaxy Evolution Imposed by the Specific Frequency of Globular Clusters'],1995,82.62099644128114,1,10.0,5.0,14.0,11.0,0.0,18.0,8.0,1413.0
http://arxiv.org/abs/astro-ph/9606066v2,"[u'Knox, Lloyd']",16,3.0,15.0,The Astrophysical Journal,[u'Cosmic Microwave Background Anisotropy Observing Strategy Assessment'],1997,68.21280724450196,0,6.0,0.5,21.0,4.0,1.0,11.0,13.1,278.0
http://arxiv.org/abs/astro-ph/9407035v1,"[u'Jedamzik, Karsten', u'Mathews, Grant J.', u'Fuller, George M.']",12,2.0,13.0,The Astrophysical Journal,[u'Absence of a Lower Limit on Omega B in Inhomogeneous Primordial Nucleosynthesis'],1995,68.21280724450196,0,4.0,1.3,11.7,4.0,0.0,5.0,1.7,438.0
http://arxiv.org/abs/astro-ph/9311032v1,"[u'Bennett, C. L.', u'Fixsen, D. J.', u'Hinshaw, G.', u'Mather, J. C.', u'Moseley, S. H.', u'Wright, E. L.', u'Eplee, R. E., Jr.', u'Gales, J.', u'Hewagama, T.', u'Isaacman, R. B.', u'Shafer, R. A.', u'Turpie, K.']",155,5.0,32.0,The Astrophysical Journal,[u'Morphology of the Interstellar Cooling Lines Detected by COBE'],1994,68.21280724450196,2,7.0,0.7,23.5,5.0,3.0,20.0,2.6,161.0
http://arxiv.org/abs/astro-ph/9311005v1,"[u'Balcells, Marc', u'Peletier, Reynier F.']",126,41.0,14.0,The Astronomical Journal,[u'Colors and Color Gradients in Bulges of Galaxies'],1994,82.62099644128114,2,7.0,0.7,16.3,6.0,2.0,14.0,4.8,218.0
http://arxiv.org/abs/astro-ph/9509144v1,"[u'Fryer, Chris L.', u'Benz, Willy', u'Herant, Marc']",92,18.0,41.0,The Astrophysical Journal,[u'The Dynamics and Outcomes of Rapid Infall onto Neutron Stars'],1996,68.21280724450196,2,1.0,0.2,9.6,1.0,0.0,3.0,0.8,144.0
http://arxiv.org/abs/astro-ph/9412043v1,"[u'Suisalu, I.', u'Saar, E.']",20,8.0,16.0,Monthly Notices of the Royal Astronomical Society,[u'An adaptive multigrid solver for high-resolution cosmological simulations'],1995,57.938987187309344,1,1.0,0.1,4.4,1.0,0.0,2.0,0.4,74.0
http://arxiv.org/abs/astro-ph/9304026v1,"[u'Weinberg, Martin D.']",25,23.0,24.0,The Astrophysical Journal,[u'Kinematic Signature of a Rotating Bar near a Resonance'],1994,68.21280724450196,1,11.0,1.8,18.4,11.0,1.0,20.0,20.1,747.0
http://arxiv.org/abs/astro-ph/9605188v2,"[u'Schaab, C.', u'Voskresensky, D.', u'Sedrakian, A. D.', u'Weber, F.', u'Weigel, M. K.']",66,15.0,31.0,Astronomy and Astrophysics,[u'Impact of medium effects on the cooling of non-superfluid and superfluid neutron stars.'],1997,44.746808510638296,2,2.0,1.0,11.6,2.0,0.0,2.0,0.9,478.0
http://arxiv.org/abs/astro-ph/9310024v1,"[u'Martin, T. J.', u'Pearce, F. R.', u'Thomas, P. A.']",0,5.0,15.0,ArXiv e-prints,"[u""An Owner's Guide to Smoothed Particle Hydrodynamics""]",1993,5.563943161634103,0,8.0,0.2,12.3,7.0,0.0,15.0,7.3,57.0
http://arxiv.org/abs/astro-ph/9311016v1,"[u'Scappini, F.', u'Palumbo, G. G. C.', u'Bruni, G.', u'Bergman, P.']",8,6.0,16.0,The Astrophysical Journal,[u'Molecular Lines in BOK Globules and around Herbig Ae/Be Stars'],1994,68.21280724450196,0,7.0,0.3,6.5,3.0,0.0,10.0,3.5,81.0
http://arxiv.org/abs/astro-ph/9409051v1,"[u'Cramer, John G.', u'Forward, Robert L.', u'Morris, Michael S.', u'Visser, Matt', u'Benford, Gregory', u'Landis, Geoffrey A.']",80,4.0,4.0,Physical Review D,[u'Natural wormholes as gravitational lenses'],1995,56.45515394912985,2,8.0,0.4,20.4,8.0,2.0,20.0,19.7,221.0
http://arxiv.org/abs/hep-ph/9302261v2,"[u'Kaiser, N.', u'Malaney, R. A.', u'Starkman, G. D.']",16,3.0,7.0,Physical Review Letters,[u'Neutrino lasing in the early Universe'],1993,107.7734375,0,9.0,2.2,39.8,9.0,4.0,20.0,33.9,1456.0
