Author,Citation_count,Figures,Pages,Pub,Title,Year
"[u'Bouquet, Alain', u'Kaplan, Jean', u'Verschaeve, Jean-Manuel']",0,,9.0,ArXiv e-prints,[u'Microlensing by brown dwarfs: the case of dark clusters'],1994
"[u'Hata, Naoya', u'Langacker, Paul']",0,,10.0,ArXiv e-prints,[u'The Updated MSW Analysis and the Standard Solar Model Uncertainties'],1993
"[u'Kolb, Edward W.', u'Tkachev, Igor I.']",63,,12.0,Physical Review Letters,[u'Axion miniclusters and Bose stars'],1993
"[u'Krauss, Lawrence M.', u'White, Martin']",19,,13.0,The Astrophysical Journal,[u'Gravitational Lensing and the Variability of G'],1992
"[u'Wu, Xiang-Ping', u'Fang, Li-Zhi']",4,,19.0,The Astrophysical Journal,[u'Anisotropies of Cosmic Background Radiation from a Local Collapse'],1994
"[u'Perivolaropoulos, L.', u'Moessner, R.', u'Brandenberger, R.']",0,5.0,8.0,Astrophysical Letters and Communications,[u'Signatures of Cosmic Strings on the Microwave Background'],1995
"[u'Linde, Andrei', u'Linde, Dmitri', u'Mezhlumian, Arthur']",359,,,Physical Review D,[u'From the big bang theory to the theory of a stationary universe'],1994
"[u'Ferrara, A.', u'Shchekinov, Yu.']",37,14.0,29.0,The Astrophysical Journal,[u'Dynamics of Conductive/Cooling Fronts: Cloud Implosion and Thermal Solitons'],1993
"[u'Barrow, John D.', u'Liddle, Andrew R.']",111,,10.0,Physical Review D,[u'Perturbation spectra from intermediate inflation'],1993
"[u'Boldin, A. Yu.', u'Dmitrieva, V. V.', u'Safin, S. S.', u'Sharipov, R. A.']",3,,6.0,ArXiv e-prints,[u'Dynamical systems accepting the normal shift on an arbitrary Riemannian manifold'],1994
"[u'Paczynski, B.', u'Stanek, K. Z.', u'Udalski, A.', u'Szymanski, M.', u'Kaluzny, J.', u'Kubiak, M.', u'Mateo, M.']",90,,14.0,The Astronomical Journal,"[u""The Distribution of Galactic Disk Stars in Baade's Window""]",1994
"[u'Balcells, Marc', u'Peletier, Reynier F.']",126,41.0,14.0,The Astronomical Journal,[u'Colors and Color Gradients in Bulges of Galaxies'],1994
"[u'Krauss, Lawrence M.']",0,,13.0,ArXiv e-prints,"[u'COBE, Inflation, and Light Scalars']",1992
"[u'Nusser, A.', u'Dekel, A.', u'Yahil, A.']",0,4.0,16.0,ArXiv e-prints,[u'Evidence for Gaussian Initial Fluctuations from the 1.2 Jy IRAS Survey'],1993
"[u'Harari, Diego D.', u'Zaldarriaga, Mat\xedas']",47,,11.0,Physics Letters B,[u'Polarization of the microwave background in inflationary cosmology'],1993
"[u'Ghosh, Sanjay K.', u'Phatak, S. C.', u'Sahu, Pradip K.']",0,,,ArXiv e-prints,[u'Neutrino Emissivity of Degenerate Quark Matter'],1993
"[u'Jing, Yi-Peng', u'Fang, Li-Zhi']",60,6.0,21.0,The Astrophysical Journal,[u'Abundance of Moderate-Redshift Clusters in the Cold Plus Hot Dark Matter Model'],1994
"[u'Plionis, M.', u'Borgani, S.']",0,,4.0,ArXiv e-prints,[u'Lick Galaxy Correlation Function Revised'],1994
"[u'Graham, Paul', u'Turok, Neil', u'Lubin, Philip', u'Schuster, Jeff']",0,,18.0,ArXiv e-prints,[u'A Simple Test for Non-Gaussianity in CMBR Measurements'],1993
"[u'Chen, Xingming', u'Taam, Ronald E.']",31,,,The Astrophysical Journal,[u'Low-Frequency Quasi-periodic Oscillations in Low-Mass X-Ray Binaries and Galactic Black Hole Candidates'],1994
"[u'Weinberg, Martin D.']",25,23.0,24.0,The Astrophysical Journal,[u'Kinematic Signature of a Rotating Bar near a Resonance'],1994
"[u'Katz, J. I.']",3,,,Gamma-Ray Bursts,"[u'Radio and Optical Emission, Spectral Shapes and Breaks in GRB']",1994
"[u'Ellis, J.', u'Mavromatos, N. E.', u'Nanopoulos, D. V.']",19,,54.0,ArXiv e-prints,"[u'A Non-Critical String Approach to Black Holes, Time and Quantum Dynamics']",1994
"[u'Rix, Hans-Walter', u'Rieke, Marcia J.']",0,,,ArXiv e-prints,[u'M51 Stripped To Its Bones'],1993
"[u'Press, William H.', u'Rybicki, George B.']",72,,32.0,The Astrophysical Journal,[u'Properties of High-Redshift Lyman-Alpha Clouds. II. Statistical Properties of the Clouds'],1993
