Author,Citation_count,Figures,Pages,Pub,Title,Year
"[u'Croft, R. A. C.', u'Efstathiou, G.']",1,,,Numerical Simulations in Astrophysics,[u'Large-scale structure and motions from simulated galaxy clusters.'],1994
"[u'Salvador-Sole, Eduard', u'Solanes, Jose Maria']",20,3.0,24.0,The Astrophysical Journal,[u'Tidally Induced Elongation and Alignments of Galaxy Clusters'],1993
"[u'Bedding, T. R.', u'Zijlstra, A. A.']",19,,8.0,Astronomy and Astrophysics,[u'Angular diameters of compact planetary nebulae.'],1994
"[u'Lopez, Jorge L.', u'Nanopoulos, D. V.']",11,2.0,5.0,Modern Physics Letters A,[u'Closing the Universe by Relaxing the Cosmological Constant'],1994
"[u'Murray, S. D.', u'Clarke, C. J.']",6,14.0,33.0,Monthly Notices of the Royal Astronomical Society,[u'N-Body Simulations of Star / Disc Captures in Globular Clusters'],1993
"[u'Bernardeau, Francis', u'Kofman, Lev']",114,11.0,30.0,The Astrophysical Journal,[u'Properties of the Cosmological Density Distribution Function'],1995
"[u'Maoz, Eyal']",14,,10.0,The Astrophysical Journal,[u'The Expected Dipole in the Distribution of Cosmological gamma -Ray Bursts'],1994
"[u""D'Silva, Sydney"", u'Chakrabarti, Sandip K.']",12,,27.0,The Astrophysical Journal,[u'Magnetic Activity in Thick Accretion Disks and Associated Observable Phenomena. II. Flux Storage'],1994
"[u'Kung, J. H.']",9,,,General Relativity and Gravitation,[u'Quantization of closed mini-superspace models as bound states'],1995
"[u'Weinberg, Martin D.']",64,10.0,19.0,The Astrophysical Journal,[u'Weakly Damped Modes in Star Clusters and Galaxies'],1994
"[u'Coulson, David', u'Pen, Ue-Li', u'Turok, Neil']",0,,13.0,ArXiv e-prints,[u'Degree Scale Microwave Anisotropies in NonGaussian Theories of Cosmic Structure Formation'],1993
"[u'Biermann, P. L.', u'Cassinelli, J. P.']",66,,,Astronomy and Astrophysics,[u'Cosmic rays. II. Evidence for a magnetic rotator Wolf-Rayet star origin'],1993
"[u'Murayama, Hitoshi', u'Yanagida, T.']",135,,10.0,Physics Letters B,[u'Leptogenesis in supersymmetric standard model with right-handed neutrino'],1994
"[u'Grossman, Scott A.', u'Nowak, Michael A.']",15,,23.0,The Astrophysical Journal,[u'The Statistics of Gamma-Ray Burst Lensing'],1994
"[u'Strom, Karen M.', u'Strom, Stephen E.']",136,,,The Astrophysical Journal,[u'A Multiwavelength Study of Star Formation in the L1495E Cloud in Taurus'],1994
"[u'Chiang, James', u'Romani, Roger W.']",81,,13.0,The Astrophysical Journal,[u'An Outer Gap Model of High-Energy Emission from Rotation-powered Pulsars'],1994
"[u'Jaffe, Andrew Howard']",0,,30.0,Ph.D. Thesis,[u'Quasi-Linear Evolution of Compensated Cosmological Perturbations: the Nonlinear Sigma Model.'],1994
"[u'Wu, X. -P.']",19,2.0,4.0,Astronomy and Astrophysics,[u'A further discussion on quasar-galaxy associations from gravitational lensing'],1994
"[u'Thorsett, S. E.', u'Arzoumanian, Z.', u'McKinnon, M. M.', u'Taylor, J. H.']",127,3.0,10.0,The Astrophysical Journal,[u'The Masses of Two Binary Neutron Star Systems'],1993
"[u'Stephenson, G. J., Jr.', u'Goldman, T.']",4,2.0,15.0,ArXiv e-prints,[u'Observable Consequences of a Scalar Boson Coupled only to Neutrinos'],1993
"[u'Kofman, Lev']",3,,14.0,ArXiv e-prints,[u'Cosmological Distribution Functions'],1993
"[u'Frail, Dale A.', u'Diamond, Philip J.', u'Cordes, James M.', u'van Langevelde, Huib Jan']",77,2.0,17.0,The Astrophysical Journal,[u'Anisotropic Scattering of OH/IR Stars toward the Galactic Center'],1994
"[u'Kamionkowski, M.', u'Freese, K.']",33,,9.0,Physical Review Letters,[u'Instability and subsequent evolution of electroweak bubbles.'],1992
"[u'Jetzer, P.']",0,,,The Dark Side of the Universe - Experimental Efforts and Theoretical Framework,[u'Gravitational microlensing: a method for detecting halo dark matter.'],1994
"[u'Kolb, Edward W.', u'Tkachev, Igor I.']",59,13.0,27.0,Physical Review D,[u'Nonlinear axion dynamics and the formation of cosmological pseudosolitons'],1994
"[u'Mohazzab, M.', u'Brandenberger, R.']",6,,14.0,International Journal of Modern Physics D,[u'Gamma Rays from Small Scale Structures on Long Cosmic Strings'],1993
"[u'Chiba, Takashi', u'Sugiyama, Naoshi', u'Suto, Yasushi']",15,,,The Astrophysical Journal,[u'Microwave Background Anisotropies in Primeval Isocurvature Baryon Models: Constraints on the Cosmological Parameters'],1994
"[u'Mollerach, Silvia', u'Matarrese, Sabino', u'Lucchin, Francesco']",42,,12.0,Physical Review D,[u'Blue perturbation spectra from inflation'],1994
"[u'Lai, Dong', u'Rasio, Frederic A.', u'Shapiro, Stuart L.']",115,,,The Astrophysical Journal,[u'Hydrodynamic Instability and Coalescence of Binary Neutron Stars'],1994
"[u'Shamir, Yigal']",1,,39.0,ArXiv e-prints,[u'Dynamical-Space Regular-Time Lattice and Induced Gravity'],1994
"[u'Frail, D. A.', u'Vasisht, G.', u'Kulkarni, S. R.']",29,,7.0,The Astrophysical Journal,[u'The Changing Structure of the Radio Nebula around the Soft Gamma-Ray Repeater SGR 1806-20'],1997
"[u'Dolgov, A. D.', u'Rothstein, I. Z.']",50,,9.0,Physical Review Letters,[u'New upper limits on the tau-neutrino mass from primordial helium considerations'],1993
"[u'Manka, R.', u'Bednarek, I.', u'Karczewska, D.']",3,3.0,,ArXiv e-prints,[u'The Neutrino Ball Model of a Quasar'],1993
"[u'Chakrabarti, Sandip K.', u'Joshi, Pankaj S.']",16,,,International Journal of Modern Physics D,[u'Naked Singularities as Candidates for Gamma-Ray Bursters'],1994
"[u'Crittenden, Robert', u'Bond, J. Richard', u'Davis, Richard L.', u'Efstathiou, George', u'Steinhardt, Paul J.']",167,,11.0,Physical Review Letters,[u'Imprint of gravitational waves on the cosmic microwave background'],1993
"[u'Glazebrook, K.', u'Peacock, J. A.', u'Collins, C. A.', u'Miller, L.']",113,,21.0,Monthly Notices of the Royal Astronomical Society,"[u'An imaging K-band survey - I. The catalogue, star and galaxy counts.']",1994
"[u'Luo, Xiaochun']",77,,14.0,The Astrophysical Journal,[u'The Angular Bispectrum of the Cosmic Microwave Background'],1994
"[u'Juszkiewicz, R.', u'Bouchet, F. R.', u'Colombi, S.']",177,,10.0,The Astrophysical Journal,[u'Skewness Induced by Gravity'],1993
"[u'Milgrom, M.']",99,,36.0,Annals of Physics,[u'Dynamics with a Nonstandard Inertia-Acceleration Relation: An Alternative to Dark Matter in Galactic Systems'],1994
"[u'Scappini, F.', u'Palumbo, G. G. C.', u'Bruni, G.', u'Bergman, P.']",8,6.0,16.0,The Astrophysical Journal,[u'Molecular Lines in BOK Globules and around Herbig Ae/Be Stars'],1994
"[u'Morley, P. D.']",0,,7.0,ArXiv e-prints,[u'Gravitational Bending of Light with Frequency Shifts'],1993
"[u'Speliotopoulos, Achilles D.']",0,,,ArXiv e-prints,"[u'The Asymptotic Form of the Energy Density of Weakly Interacting Particles in a Static, Spherical Geometry']",1993
"[u'Nichol, R. C.', u'Briel, O. G.', u'Henry, J. P.']",32,,11.0,Monthly Notices of the Royal Astronomical Society,[u'The spatial correlation function from an X-ray selected sample of Abell clusters.'],1994
"[u'Kepner, J.', u'Hartigan, P.', u'Yang, C.', u'Strom, S.']",39,3.0,6.0,The Astrophysical Journal,[u'Hubble Space Telescope Images of the Subarcsecond Jet in DG Tauri'],1993
"[u'Dubinski, John']",205,,,The Astrophysical Journal,[u'The Effect of Dissipation on the Shapes of Dark Halos'],1994
"[u'Bahcall, J. N.']",0,,19.0,Particle Physics and Astrophysics,[u'Solar neutrinos: what we have learned.'],1995
"[u'Henney, W. J.']",3,3.0,4.0,"Revista Mexicana de Astronomia y Astrofisica, vol. 29",[u'Doppler ghosts in a hall of mirrors: polarisation profiles of scattered emission lines.'],1994
"[u'Olesen, Michael L.', u'Madsen, Jes']",45,5.0,13.0,Physical Review D,[u'Nucleation of quark matter bubbles in neutron stars'],1994
"[u'Theuns, T.']",8,,,Computer Physics Communications,[u'Parallel P3M with exact calculation of short range forces'],1994
"[u'Bernardeau, Francis']",100,,43.0,The Astrophysical Journal,[u'The Nonlinear Evolution of Rare Events'],1994
"[u'Ben-Menahem, Shahar', u'Cooper, Adrian R.']",8,,,Nuclear Physics B,[u'Baryogenesis from unstable domain walls'],1992
"[u'Kerins, E. J.', u'Carr, B. J.']",27,,40.0,Monthly Notices of the Royal Astronomical Society,[u'Infrared searches for dark matter in the form of brown dwarfs.'],1994
"[u'Rozanski, R.', u'Rowan-Robinson, M.']",0,,9.0,Cosmic Velocity Fields,[u'The brightest stars in galaxies are not good distance indicators'],1993
"[u'Heavens, A. F.']",20,,5.0,Monthly Notices of the Royal Astronomical Society,[u'Galaxy redshifts : improved techniques.'],1993
"[u'Kosowsky, Arthur', u'Turner, Michael S.']",98,13.0,28.0,Physical Review D,[u'Gravitational radiation from colliding vacuum bubbles: Envelope approximation to many-bubble collisions'],1993
"[u'Brandenberger, R.', u'Feldman, H.', u'Mukhanov, V.']",10,,17.0,Evolution of the Universe and its Observational Quest,[u'Classical and quantum theory of perturbations in inflationary universe models.'],1994
"[u'Feldman, Hume A.', u'Watkins, Richard']",46,,13.0,The Astrophysical Journal,[u'Theoretical Expectations for Bulk Flows in Large-Scale Surveys'],1994
"[u'Brandenberger, Robert', u'Davis, Anne-Christine', u'Trodden, Mark']",53,,17.0,Physics Letters B,[u'Cosmic strings and electroweak baryogenesis'],1994
"[u'Zhang, Qi-Ren', u'Ma, Bo-Qiang', u'Greiner, W.']",9,,15.0,Journal of Physics G Nuclear Physics,[u'Finite volume of baryons and the mass limit for neutron stars'],1992
"[u'Brandenberger, Robert H.']",1,10.0,25.0,Current Topics in Astrofundamental Physics,[u'Topological Defect Models of Structure Formation after the COBE Discovery of CMB Anisotropies'],1993
"[u'Nichol, R. C.', u'Ulmer, M. P.', u'Kron, R. G.', u'Wirth, G. D.', u'Koo, D. C.']",12,,20.0,The Astrophysical Journal,[u'A Search for X-Ray Bright Distant Clusters of Galaxies'],1994
"[u'Cline, James M.', u'Kainulainen, Kimmo', u'Paban, Sonia']",7,,,Physics Letters B,[u'Stability of neutrinos in the singlet majoron model'],1993
"[u'Nellen, Lukas', u'Mannheim, Karl', u'Biermann, Peter L.']",79,,,Physical Review D,[u'Neutrino production through hadronic cascades in AGN accretion disks'],1993
"[u'Melia, Fulvio', u'Misra, Ranjeev']",23,,13.0,The Astrophysical Journal,[u'A Self-consistent Model for the Long-Term Gamma-Ray Spectral Variability of Cygnus X-1'],1993
"[u'Banerjee, B.', u'Gavai, R. V.']",3,,10.0,Modern Physics Letters A,[u'Supercooling and Nucleation in Phase Transitions of the Early Universe'],1996
"[u'Feldman, Hume A.', u'Kaiser, Nick', u'Peacock, John A.']",428,9.0,31.0,The Astrophysical Journal,[u'Power-Spectrum Analysis of Three-dimensional Redshift Surveys'],1994
"[u'Seckel, David']",20,,32.0,ArXiv e-prints,[u'Nucleon Mass Corrections to the $p \\leftrightarrow n$ Rates During Big Bang Nucleosynthesis'],1993
"[u'Giersz, M.', u'Spurzem, R.']",63,,24.0,Monthly Notices of the Royal Astronomical Society,[u'Comparing direct N-body integration with anisotropic gaseous models of star clusters'],1994
"[u'Catelan, Paolo', u'Moscardini, Lauro']",12,2.0,10.0,The Astrophysical Journal,[u'Kurtosis as a Non-Gaussian Signature of the Large-Scale Velocity Field'],1994
"[u'Moffat, J. W.']",202,,,International Journal of Modern Physics D,[u'Superluminary Universe:. a Possible Solution to the Initial Value Problem in Cosmology'],1993
"[u'Gyuk, Geza', u'Turner, Michael S.']",19,,,Physical Review D,[u'Relaxing the big-bang bound to the baryon density'],1994
"[u'Crittenden, Robert', u'Steinhardt, Paul J.']",32,,10.0,Physics Letters B,[u'Graceful exit in extended inflation and implications for density perturbations'],1992
"[u'Ma, Chung-Pei']",14,6.0,36.0,Physical Review D,[u'SO(10) cosmic strings and baryon-number violation'],1993
"[u'Robinson, C. R.', u'Cordova, F. A.']",3,,14.0,Interacting Binary Stars,[u'The X-ray Behavior of Two CVs: TT Ari and DP Leo'],1994
"[u'Ganga, Ken', u'Page, Lyman', u'Cheng, Edward', u'Meyer, Stephan']",56,,,The Astrophysical Journal,[u'The Amplitude and Spectral Index of the Large Angular Scale Anisotropy in the Cosmic Microwave Background Radiation'],1994
"[u'Wilson, Christine D.', u'Walker, Constance E.']",11,9.0,16.0,The Astrophysical Journal,[u'Diffuse Molecular Clouds and the Molecular Interstellar Medium from 13CO Observations of M33'],1994
"[u'Vishniac, Ethan T.']",225,,42.0,The Astrophysical Journal,[u'Nonlinear Instabilities in Shock-bounded Slabs'],1994
"[u'Bonometto, S. A.', u'Gabbiani, F.', u'Masiero, A.']",37,3.0,9.0,Physical Review D,[u'Mixed dark matter from axino distribution'],1994
"[u'Finn, Lee S.']",237,6.0,37.0,Physical Review D,"[u'Detection, measurement, and gravitational radiation']",1992
"[u'Freese, Katherine', u'Levin, Janna J']",0,,12.0,ArXiv e-prints,"[u'The Mad Era: A Possible New Resolution to the Horizon, Flatness, and Monopole Problems']",1992
"[u'Roszkowski, Leszek']",12,,7.0,Physical Review D,[u'Simple way of calculating the cosmological relic density'],1994
"[u'Jetzer, Philippe']",0,,,ArXiv e-prints,[u'Gravitational microlensing by the dark halo of M31'],1993
"[u'Abney, Mark']",14,3.0,12.0,Physical Review D,[u'Hydrodynamic detonation instability in electroweak and QCD phase transitions'],1994
"[u'Borrill, Julian']",7,,,Physical Review D,[u'Numerical methods in cosmological global texture simulations'],1994
"[u'Jacobs, Mark W.', u'Linder, Eric V.', u'Wagoner, Robert V.']",10,,19.0,Physical Review D,[u'Green function for metric perturbations due to cosmological density fluctuations'],1993
"[u'Bekenstein, Jacob D.']",94,,15.0,Physical Review D,[u'Relation between physical and gravitational geometry'],1993
"[u'Ma, Chung-Pei', u'Bertschinger, Edmund']",6,,35.0,ArXiv e-prints,[u'Cosmological Perturbation Theory in the Synchronous vs. Conformal Newtonian Gauge'],1994
"[u'Pen, Ue-Li']",0,,,The Astrophysical Journal,[u'Modes of Elliptical Galaxies'],1994
"[u'Souradeep, Tarun']",2,,,The Astrophysical Journal,[u'Generation of Seed Perturbations from Quantum Cosmology'],1993
"[u'Tomisaka, K.', u'Bregman, J. N.']",46,,,Publications of the Astronomical Society of Japan,[u'Extended Hot-Gas Halos around Starburst Galaxies'],1993
"[u'Schoniger, F.', u'Sofue, Y.']",33,,14.0,Astronomy and Astrophysics,[u'CO versus HI in the Tully-Fisher relation for a sample of 32 galaxies.'],1994
"[u'Nath, Biman B.']",1,,7.0,Physical Review D,[u'Constraints on radiative decay of the 17-keV neutrino from COBE measurements'],1992
"[u'Hu, Yue', u'Turner, Michael S.', u'Weinberg, Erick J.']",41,,17.0,Physical Review D,[u'Dynamical solutions to the horizon and flatness problems'],1994
"[u'Moore, Ben']",47,,,The Astrophysical Journal,[u'An Upper Limit to the Mass of Black Holes in the Halo of the Galaxy'],1993
"[u'Narayan, Ramesh', u'Yi, Insu']",1228,,7.0,The Astrophysical Journal,[u'Advection-dominated Accretion: A Self-similar Solution'],1994
"[u'Stebbins, A.']",1,,,Cosmic Velocity Fields,[u'Bayesian estimates of the large-scale velocity field in real space and redshift space'],1993
"[u'Melott, Adrian L.', u'Splinter, Randall J.', u'Persic, Massimo', u'Salucci, Paolo']",3,,14.0,The Astrophysical Journal,[u'Decaying Neutrinos in Galaxy Clusters'],1994
"[u'Marziani, Paolo', u'Sulentic, Jack W.']",19,,15.0,The Astrophysical Journal,[u'Evidence for a Very Broad Line Region in PG 1138+222'],1993
"[u'Falk, Toby', u'Rangarajan, Raghavan', u'Srednicki, Mark']",21,,6.0,Physical Review D,[u'Dependence of density perturbations on the coupling constant in a simple model of inflation'],1992
"[u'Rey, Soo-Jong']",0,,10.0,Physical Review D,"[u'Spontaneous CP violation, small instantons, and invisible axions']",1993
"[u'Peacock, J. A.', u'Dodds, S. J.']",702,,13.0,Monthly Notices of the Royal Astronomical Society,[u'Reconstructing the Linear Power Spectrum of Cosmological Mass Fluctuations'],1994
"[u'Brandenberger, R.', u'Mukhanov, V.', u'Sornborger, A.']",119,11.0,25.0,Physical Review D,[u'Cosmological theory without singularities'],1993
"[u'Nemiroff, Robert J.']",12,,,The Astrophysical Journal,[u'Magnification Bias in Galactic Microlensing Searches'],1994
"[u'Steinmetz, Matthias', u'Mueller, Ewald']",0,2.0,8.0,ArXiv e-prints,[u'Formation of spiral and elliptical galaxies in a CDM cosmogony'],1993
"[u'Piran, Tsvi']",1,,8.0,American Institute of Physics Conference Series,[u'\u03b3-ray bursts and neutron star mergers-possibly the strongest explosions in the universe'],1992
"[u'Wright, E. L.', u'Smoot, G. F.', u'Bennett, C. L.', u'Lubin, P. M.']",73,,22.0,The Astrophysical Journal,[u'Angular Power Spectrum of the Microwave Background Anisotropy Seen by the COBE Differential Microwave Radiometer'],1994
"[u'Bar-Kana, Rennan']",22,3.0,10.0,Physical Review D,[u'Limits on direct detection of gravitational waves'],1994
"[u'Peletier, R. F.', u'Willner, S. P.']",34,,,The Astrophysical Journal,[u'The Infrared Tully-Fisher Relation in the Ursa Major Cluster'],1993
"[u'Jedamzik, K.', u'Fuller, G. M.', u'Mathews, G. J.', u'Kajino, T.']",36,5.0,19.0,The Astrophysical Journal,[u'Enhanced Heavy-Element Formation in Baryon-inhomogeneous Big Bang Models'],1994
"[u'Foglizzo, T.', u'Tagger, M.']",38,,22.0,Astronomy and Astrophysics,[u'The Parker instability in disks with differential rotation.'],1994
"[u'Cheng, Baolian', u'Schramm, David N.', u'Truran, James W.']",25,,,Physics Letters B,[u'Interaction rates at high magnetic field strengths and high degeneracy'],1993
"[u'Sugiyama, Naoshi', u'Silk, Joseph', u'Vittorio, Nicola']",31,,10.0,The Astrophysical Journal,[u'Reionization and Cosmic Microwave Anisotropies'],1993
"[u'Moessner, R.', u'Perivolaropoulos, L.', u'Brandenberger, R.']",50,9.0,18.0,The Astrophysical Journal,[u'A Cosmic String--specific Signature on the Cosmic Microwave Background'],1994
"[u'Colless, M.', u'Schade, D.', u'Broadhurst, T. J.', u'Ellis, R. S.']",49,,15.0,Monthly Notices of the Royal Astronomical Society,[u'High-resolution imaging of faint blue galaxies.'],1994
"[u'Colombi, S.']",43,,8.0,The Astrophysical Journal,"[u'A ""skewed"" lognormal approximation to the probability distribution function of the large-scale density field.']",1994
"[u'Tomozawa, Yukio']",0,,,Very High Energy Cosmic-Ray Interactions,"[u'Cosmic rays, gamma rays and neutrinos from point sources']",1993
"[u'Milgrom, Mordehai']",5,,9.0,Physics Letters A,[u'The virial theorem for action-governed theories'],1994
"[u'Lyth, David H.']",35,,,Physical Review D,[u'Dilution of cosmological densities by saxino decay'],1993
"[u'Ellis, J.', u'Mavromatos, N.', u'Nanopoulos, D.']",20,,23.0,ArXiv e-prints,[u'A Liouville String Approach to Microscopic Time and Cosmology'],1993
"[u'Pelt, J.', u'Hoff, W.', u'Kayser, R.', u'Refsdal, S.', u'Schramm, T.']",62,,12.0,Astronomy and Astrophysics,[u'Time delay controversy on QSO 0957+561 not yet decided'],1994
"[u'Fakir, Redouane']",25,,,The Astrophysical Journal,[u'Gravity Wave Watching'],1994
"[u'Bird, Christina M.']",134,,40.0,The Astronomical Journal,[u'Substructure in Clusters and Central Galaxy Peculiar Velocities'],1994
"[u'Caldwell, R. R.']",9,,9.0,Physical Review D,"[u""Green's functions for gravitational waves in FRW spacetimes""]",1993
"[u'Pottasch, S. R.', u'Zijlstra, A. A.']",12,,,Astronomy and Astrophysics,[u'VLA measurements of a sample of planetary nebulae'],1994
"[u'Srednicki, Mark']",336,,28.0,Physical Review E,[u'Chaos and quantum thermalization'],1994
"[u'Kalyana Rama, S.']",1,,11.0,ArXiv e-prints,[u'Singularities in Low Energy $d = 4$ Heterotic String and Brans-Dicke Theories'],1993
"[u'Mannheim, Philip D.']",20,7.0,22.0,Foundations of Physics,[u'Open questions in classical gravity'],1994
"[u'Kamionkowski, Marc', u'Krauss, Lawrence M.', u'Ressell, M. Ted']",3,,7.0,ArXiv e-prints,[u'Implications of Recent Nucleon Spin Structure Measurements for Neutralino Dark Matter Detection'],1994
"[u'Deng, Zugan', u'Xia, Xiaoyang', u'Fang, Li-Zhi']",14,13.0,16.0,The Astrophysical Journal,[u'Typical Scales in the Spatial Distribution of QSOs'],1994
"[u'Gates, Evalyn', u'Turner, Michael S.']",32,,11.0,Physical Review Letters,[u'Halo cold dark matter and microlensing'],1994
"[u'Morley, P. D.']",1,,6.0,ArXiv e-prints,[u'Pulsar Braking Index and Mass Accretion'],1993
"[u'Giallongo, E.', u""D'Odorico, S."", u'Fontana, A.', u'McMahon, R. G.', u'Savaglio, S.', u'Cristiani, S.', u'Molaro, P.', u'Trevese, D.']",71,3.0,11.0,The Astrophysical Journal,[u'The Gunn-Peterson Effect in the Spectrum of the Z = 4.7 QSO 1202-0725: The Intergalactic Medium at Very High Redshifts'],1994
"[u'Haensel, P.', u'Pinchon, B.']",85,4.0,15.0,Astronomy and Astrophysics,[u'Experimental nuclear masses and the ground state of cold dense matter'],1994
"[u'Bahcall, Neta A.', u'Lubin, Lori M.']",86,3.0,10.0,The Astrophysical Journal,[u'Resolving the Beta-Discrepancy for Clusters of Galaxies'],1994
"[u'Meszaros, P.', u'Rees, M. J.', u'Papathanassiou, H.']",176,17.0,24.0,The Astrophysical Journal,[u'Spectral Properties of Blast-Wave Models of Gamma-Ray Burst Sources'],1994
"[u'Lai, Dong', u'Rasio, Frederic A.', u'Shapiro, Stuart L.']",55,,43.0,The Astrophysical Journal,[u'Hydrodynamics of Rotating Stars and Close Binary Interactions: Compressible Ellipsoid Models'],1994
"[u'Maoz, E.']",2,5.0,5.0,Monthly Notices of the Royal Astronomical Society,[u'A possible explanation for the peculiar correlations in the angular distribution of gamma-ray bursts.'],1994
"[u'Newsam, A.', u'Simmons, J. F. L.', u'Hendry, M. A.']",1,5.0,10.0,Cosmic Velocity Fields,[u'Bias in velocity field recoveries'],1993
"[u'Chivukula, R. Sekhar', u'Cohen, Andrew G.', u'Luke, Michael', u'Savage, Martin J.']",11,,6.0,Physics Letters B,[u'A comment on the strong interactions of color-neutral technibaryons'],1993
"[u'Durrer, Ruth']",25,,,Physical Review Letters,[u'Light deflection in perturbed Friedmann universes'],1994
"[u'Ellis, John', u'Nanopoulos, D. V.', u'Olive, Keith A.']",32,,12.0,Physics Letters B,[u'Flipped heavy neutrinos. From the solar neutrino problem to baryogenesis'],1993
"[u'Hendry, M. A.', u'Simmons, J. F. L.']",19,,19.0,The Astrophysical Journal,[u'Optimal Galaxy Distance Estimators'],1994
"[u'McGaugh, Stacy S.', u'Bothun, Gregory D.']",149,,45.0,The Astronomical Journal,[u'Structural Characteristics and Stellar Composition of Low Surface Brightness Disk Galaxies'],1994
"[u'Sahni, Varun', u'Sathyaprakash, B. S.', u'Shandarin, Sergei F.']",68,,38.0,The Astrophysical Journal,[u'The Evolution of Voids in the Adhesion Approximation'],1994
"[u'Gurzadyan, V. G.', u'Kocharyan, A. A.']",0,,6.0,ArXiv e-prints,[u'Scale-Invariant Spectrum of Cosmic Background Radiation as a Feature of the Universe with Negative Curvature'],1994
"[u'Faraoni, Valerio']",19,,12.0,The Astrophysical Journal,[u'Nonstationary gravitational lenses and the Fermat principle'],1992
"[u'Brandenberger, R.', u'Mukhanov, V.', u'Prokopec, T.']",61,,10.0,Physical Review Letters,[u'Entropy of a classical stochastic field and cosmological perturbations'],1992
"[u'Maoz, Eyal']",20,,9.0,The Astrophysical Journal,[u'Gravitational Microlensing by Dark Clusters in the Galactic Halo'],1994
"[u'Hata, Naoya', u'Langacker, Paul']",34,,,Physical Review D,[u'Earth effect in the MSW analysis of the solar neutrino experiments'],1993
"[u'Bludman, S. A.', u'Hata, N.', u'Kennedy, D. C.', u'Langacker, P. G.']",98,19.0,20.0,Physical Review D,[u'Implications of combined solar-neutrino observations and their theoretical uncertainties'],1993
"[u'Campana, Sergio']",0,,,ArXiv e-prints,[u'Microlensing and Halo Mass in Form of Stars'],1994
"[u'Weiss, A. G.', u'Buchert, T.']",8,,,Astronomy and Astrophysics,[u'High-resolution simulation of deep pencil beam surveys - analysis of quasi-periodicity'],1993
"[u'Jannuzi, Buell T.', u'Smith, Paul S.', u'Elston, Richard']",153,,21.0,The Astrophysical Journal,[u'The Optical Polarization Properties of X-Ray--selected BL Lacertae Objects'],1994
"[u'Kolb, Edward W.', u'Vadas, Sharon L.']",35,,18.0,Physical Review D,[u'Relating spectral indices to tensor and scalar amplitudes in inflation'],1994
"[u'Kamionkowski, Marc', u'Bahcall, John N.']",6,,9.0,Physical Review C,[u'Vacuum-polarization corrections to solar-fusion rates'],1994
"[u'Matarrese, S.', u'Pantano, O.', u'Saez, D.']",43,,14.0,Monthly Notices of the Royal Astronomical Society,[u'A Relativistic Approach to Gravitational Instability in the Expanding Universe - Second-Order Lagrangian Solutions'],1994
"[u'Johnson, D. J.', u'Friedlander, M. W.', u'Katz, J. I.']",9,,29.0,The Astrophysical Journal,[u'Nova Dust Nucleation: Kinetics and Photodissociation'],1993
"[u'Brady, Patrick R.', u'N\xfa\xf1ez, Dar\xedo', u'Sinha, Sukanya']",22,,13.0,Physical Review D,[u'Cauchy horizon singularity without mass inflation'],1993
"[u'Garc\xeda-Bellido, Juan']",19,,22.0,Nuclear Physics B,[u'Jordan-Brans-Dicke stochastic inflation'],1994
"[u'Eboli, O.', u'Ribelles, V.']",0,35.0,94.0,ArXiv e-prints,[u'Lectures on Modern Cosmology and Structure Formation'],1993
"[u'Kormann, R.', u'Schneider, P.', u'Bartelmann, M.']",37,,14.0,Astronomy and Astrophysics,[u'A gravitational lens model for B1422+231'],1994
"[u'Perivolaropoulos, L.']",11,,12.0,Monthly Notices of the Royal Astronomical Society,[u'The Fourier Space Statistics of Seed-Like Cosmological Perturbations'],1994
"[u'Borrill, Julian', u'Copeland, Edmund J.', u'Liddle, Andrew R.', u'Stebbins, Albert', u'Veeraraghavan, Shoba']",21,,15.0,Physical Review D,[u'Texture-induced microwave background anisotropies'],1994
"[u'Ma\u0144ka, R.', u'Bednarek, I.']",1,,16.0,Zeitschrift fur Physik C Particles and Fields,[u'Astrophysical aspects of fermion number violation in the supersymmetrical Standard Model'],1994
"[u'Kang, Hyesung', u'Ostriker, Jeremiah P.', u'Cen, Renyue', u'Ryu, Dongsu', u'Hernquist, Lars', u'Evrard, August E.', u'Bryan, Greg L.', u'Norman, Michael L.']",76,,,The Astrophysical Journal,[u'A Comparison of Cosmological Hydrodynamic Codes'],1994
"[u'Murphy, Brian W.', u'Chernoff, David F.']",10,,29.0,The Astrophysical Journal,[u'Polarized Scattering in the Vicinity of Galaxies'],1993
"[u'Chang, Sanghyeon', u'Choi, Kiwoon']",42,,,Physics Letters B,[u'Hadronic axion window and the big-bang nucleosynthesis'],1993
"[u'Brandenberger, R. H.', u'Sornborger, A. T.', u'Trodden, M.']",14,,7.0,Physical Review D,[u'\u03b3-ray bursts from ordinary cosmic strings'],1993
"[u'Klypin, Anatoly', u'Rhee, George']",36,,16.0,The Astrophysical Journal,[u'The Zero-Point of the Cluster-Cluster Correlation Function: A Key Test of Cosmological Power Spectra'],1994
"[u'Ghisellini, G.', u'Haardt, F.', u'Matt, G.']",312,,19.0,Monthly Notices of the Royal Astronomical Society,[u'The contribution of the obscuring torus to the X-ray spectrum of Seyfert galaxies: a test for the unification model.'],1994
"[u'Ma, Chung-Pei', u'Bertschinger, Edmund']",25,,20.0,The Astrophysical Journal,[u'A Calculation of the Full Neutrino Phase Space in Cold + Hot Dark Matter Models'],1994
